athlete_id,full_name,sex,birth_year,height,weight,score,date_valid_from,date_valid_to,status,sid
685,Dallal Merwa Achour,F,1995,176.0,45.0,1,2022-06-11 00:00:00,9999-12-31,1,235
687,Haykel Al-Achouri,M,1985,184.0,84.0,1,2022-06-11 00:00:00,9999-12-31,1,236
690,Chantal Achterberg,F,1985,172.0,72.0,3,2022-06-11 00:00:00,9999-12-31,1,237
700,"Nathaniel Leedom ""Nate"" Ackerman",M,1978,173.0,74.0,3,2022-06-11 00:00:00,9999-12-31,1,238
702,Ronny Ackermann,M,1978,184.0,69.0,1,2022-06-11 00:00:00,9999-12-31,1,239
706,Guido Acklin,M,1970,200.0,104.0,2,2022-06-11 00:00:00,9999-12-31,1,240
707,Urban Acman,M,1976,180.0,83.0,4,2022-06-11 00:00:00,9999-12-31,1,241
716,Lautaro Germn Acosta,M,1988,168.0,72.0,2,2022-06-11 00:00:00,9999-12-31,1,242
719,Luz Mercedes Acosta Valdez,F,1981,164.0,63.0,1,2022-06-11 00:00:00,9999-12-31,1,243
723,Osmay Acosta Duarte,M,1985,188.0,91.0,1,2022-06-11 00:00:00,9999-12-31,1,244
725,Roslandy del Valle Acosta Alvarado,F,1992,190.0,62.0,2,2022-06-11 00:00:00,9999-12-31,1,245
729,Robert Acquafresca,M,1988,184.0,70.0,2,2022-06-11 00:00:00,9999-12-31,1,246
736,Brigitte Acton (-Smith),F,1986,168.0,63.0,2,2022-06-11 00:00:00,9999-12-31,1,247
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",F,1975,188.0,66.0,1,2022-06-11 00:00:00,9999-12-31,1,248
738,Crox Ernesto Acua Rodrguez,M,1990,192.0,89.0,1,2022-06-11 00:00:00,9999-12-31,1,249
748,Mariko Adachi,F,1983,162.0,51.0,2,2022-06-11 00:00:00,9999-12-31,1,250
749,Miho Adachi,F,1979,165.0,58.0,4,2022-06-11 00:00:00,9999-12-31,1,251
